Track,Artist,SpotifyID,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness
Desperate Man,Eric Church,1vHeu2j2MpfMqqvcXKLtic,0.711,0.796,10,1,0.0341,0.0716,0.0045,0.262,0.901,109.991,208733,-5.87
Speechless,Dan + Shay,3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,1,1,0.0298,0.356,0,0.24,0.386,135.929,213387,-5.968
Hotel Key,Old Dominion,33471tzU1VghDg9zNgGRpz,0.758,0.867,11,1,0.0475,0.152,0,0.308,0.964,102.018,166573,-5.087
Lie,NF,07FkzikE6FuHIa8Ma7zJGc,0.513,0.661,5,1,0.24,0.161,0,0.246,0.179,94.791,209213,-6.419
Drunk Me,Mitchell Tenpenny,1G4cdOtF36ZCs6i2dZoC87,0.499,0.797,2,1,0.0554,0.199,0,0.0933,0.408,176.024,211768,-3.77
You Say,Lauren Daigle,6Up545NUflOiXo8cEraH49,0.486,0.632,5,1,0.0344,0.682,0,0.0869,0.0791,147.892,274693,-6.89
Better,Khalid,6zeeWid2sgw4lap2jV61PZ,0.596,0.552,0,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,-10.278
Africa,Weezer,3ZPKocroJIcnHGcnJVlLKD,0.534,0.784,8,1,0.0339,0.205,0.00579,0.106,0.6,92.147,238627,-3.59
Dedicate,Lil Wayne,0Y7di9ZCmB6Elad5WISaPc,0.879,0.662,2,1,0.309,0.033,0,0.716,0.723,117.975,189909,-6.162
Jumpsuit,twenty one pilots,1E1uGhNdBe6Dddbgs2KqtZ,0.62,0.61,11,0,0.0373,0.00849,0.162,0.205,0.235,127.052,238560,-8.329
Belly,Lil Baby & Gunna,1yQvL8SzbF5JCroRKk9F07,0.766,0.692,1,1,0.0705,0.175,0,0.0844,0.426,120.028,191724,-5.343
My Blood,twenty one pilots,5HeKOKc4phmLn8e4I7EkzD,0.749,0.723,1,1,0.0432,0.0563,0.022,0.0977,0.674,108.999,229120,-6.609
Promises,Calvin Harris & Sam Smith,43P4CvRCS6HmVERmYfM8ma,0.716,0.775,1,1,0.0659,0.00187,0.731,0.0517,0.631,123.026,282039,-5.592
The Way I Am,Charlie Puth,6qNALlmZa1ESnCxJmXE1K9,0.755,0.769,10,0,0.186,0.314,0.00000238,0.0628,0.642,114.966,186080,-5.658
Medicine,Queen Naija,4lFfMRH0YH4pW5gczTDbNC,0.741,0.37,8,0,0.324,0.24,0,0.118,0.13,116.06,219136,-8.437
Best Shot,Jimmie Allen,3VamXAvVMczcS2PTYtPfBQ,0.629,0.464,4,1,0.0334,0.75,0,0.0853,0.523,156.051,195053,-8.72
Hangin' On,Chris Young,6CyJlVAEFlNdpggOLanytL,0.434,0.831,8,1,0.0453,0.0651,0,0.119,0.596,156.034,185440,-4.774
Maybe It's Time,Bradley Cooper,6jMbPsH6lTOLs5n8Af26AG,0.699,0.282,7,1,0.0374,0.798,0.00000123,0.0981,0.359,79.776,159293,-7.65
Leave Me Alone,Flipp Dinero,14mHfNsSHN0FbLftyjrV9g,0.792,0.743,7,1,0.0851,0.107,0,0.183,0.742,150.024,195637,-2.806
Nico And The Niners,twenty one pilots,5SehvGGC53A7SZKCLXQcyt,0.728,0.602,9,0,0.185,0.0699,0.00000701,0.318,0.328,140.081,225040,-7.748
Drunk Girl,Chris Janson,1kFBLqkTuNKlspkJ1EOGjN,0.485,0.306,0,1,0.0409,0.794,0,0.122,0.224,203.729,207267,-8.431
Deep End,Lil Baby,16QjPRt5HYK0dnLGmGRCvf,0.658,0.535,11,1,0.515,0.257,0,0.0981,0.395,150.055,174662,-8.197
I Am,Lil Baby & Gunna,3F57PtOdqRpD6euFYqtKXX,0.822,0.461,1,1,0.449,0.328,0,0.122,0.268,130.003,145060,-6.506
