Track,Artist,SpotifyID,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness
Strange,Reba,3lZ2BjqnF3MhSIqRnEnahr,0.457,0.754,11,1,0.0494,0.237,0,0.159,0.391,173.978,180147,-4.022
Know Your Enemy,Green Day,5qtwzv99vOr5UTwnTixn7j,0.56,0.958,11,1,0.0412,0.0016,0.0000496,0.0643,0.961,129.984,190987,-3.245
Catch Me,Demi Lovato,7eM88DF4yL4hpNnB6oJLnD,0.289,0.292,4,1,0.048,0.491,0,0.255,0.491,185.425,190000,-11.991
Beautiful,Eminem,1HR2CTi0ytRJIcik1QKdOa,0.727,0.696,5,0,0.0706,0.251,0,0.0726,0.467,132.077,392827,-4.472
Day 'N' Nite,Kid Cudi,5FEXPoPnzueFJQCPRIrC3c,0.871,0.44,11,0,0.0761,0.499,0.00000415,0.114,0.799,137.996,221267,-6.25
Gives You Hell,The All-American Rejects,6ihL9TjfRjadfEePzXXyVF,0.718,0.691,4,1,0.0387,0.0159,0,0.0627,0.552,100.008,213107,-6.44
If It Kills Me,Jason Mraz,5wfiaGgyuQcW2hvDy2NB5J,0.632,0.429,4,0,0.0381,0.0448,0,0.132,0.521,143.795,273653,-6.784
It Happens,Sugarland,1I66zFfRohnb8kwJV3vrV4,0.641,0.724,8,1,0.0483,0.00631,0.0000708,0.0724,0.748,89.971,181253,-3.843
Boyfriend #2,Pleasure P,3taIcgVjePRzkdz0ZmJbOi,0.648,0.767,8,1,0.0608,0.0219,0,0.19,0.796,141.906,207400,-5.052
You Don't Belong,Daughtry,1yWOt2g4f5FfRC1YBbzxBO,0.42,0.872,1,0,0.0406,0.0162,0,0.0919,0.312,166.119,239973,-3.712
Swag Surfin',F.L.Y. (Fast Life Yungstaz),5ItzU5pBrFmRUudfr5RkJP,0.731,0.927,11,0,0.0408,0.015,0,0.103,0.669,143.987,249920,-5.663
Ignorance,Paramore,47No93LxERvV6MtOAmQzHS,0.522,0.964,11,0,0.095,0.00109,0.000389,0.0387,0.51,170.944,218627,-2.645
Ice Cream Freeze (Let's Chill),Hannah Montana,3FRuUuqmFDk3BYHaDzAjTI,0.715,0.978,0,1,0.0747,0.048,0.000135,0.098,0.789,106.009,187400,-3.555
One And The Same,Selena Gomez & Demi Lovato,1QkJBQnCv81ef7gyWMDL3Q,0.497,0.973,9,1,0.0688,0.00072,0.0000108,0.208,0.711,157.959,180960,-3.179
Lost You Anyway,Toby Keith,2cNCswP33qCFzPQYTegmtX,0.402,0.675,6,0,0.0329,0.0278,0.00552,0.0811,0.321,150.11,218493,-5.761
Paranoid,Jonas Brothers,6mDpUEYNqfdDQ0OWfjLIhX,0.635,0.848,10,1,0.041,0.00121,0,0.129,0.757,120.993,218267,-4.482
Careless Whisper,Seether,46eHxWRKmtYhUHPDRgclt6,0.469,0.943,2,1,0.102,0.0000607,0.00547,0.0717,0.358,134.031,296973,-4.196
It's America,Rodney Atkins,6QbcLktLNe7eYqh8TjZeCd,0.595,0.715,4,1,0.0384,0.0374,0,0.374,0.722,134.498,213787,-13.863
One In Every Crowd,Montgomery Gentry,6HAsk04nz2TaEbK8lncN3w,0.643,0.86,11,1,0.0495,0.00423,0,0.286,0.674,111.148,211107,-4.447
My Life Would Suck Without You,Kelly Clarkson,4Dm32oO01YpIubCHaAtKkN,0.526,0.882,9,1,0.0509,0.0014,0,0.144,0.424,144.982,211493,-4.006
If U Seek Amy,Britney Spears,2hdy9Wt9qp7M7d0U3ossu2,0.717,0.587,4,0,0.0339,0.0192,0,0.0523,0.544,129.954,216520,-7.296
Take Me On The Floor,The Veronicas,7MFvqBJ3ozTwDrf5VfoW8U,0.61,0.9,11,0,0.0453,0.00345,0.00000786,0.272,0.621,139.969,210480,-2.304
Funny The Way It Is,Dave Matthews Band,4ZOoV2Ofzm5gnM3rVl9q7d,0.587,0.943,0,1,0.0346,0.157,0,0.248,0.747,103.013,266627,-3.277
Echo,Gorilla Zoe,7ytLGF9Ua5g5MylbwtxzZC,0.809,0.744,0,0,0.0434,0.0809,0,0.21,0.572,107.99,237893,-5.892
Damned If I Do Ya (Damned If I Don't),All Time Low,7LcNhnWCI9w9ivknoSqtvK,0.554,0.902,4,1,0.0569,0.00635,0,0.328,0.657,126.022,187000,-4.018
Fly With Me,Jonas Brothers,1uCnwV9ABsYkNJmrpQOR1H,0.48,0.926,0,1,0.0577,0.00571,0,0.119,0.522,149.963,234147,-3.464
We Made You,Eminem,4UMTp91LHhvW33ol9ZQH0Q,0.924,0.853,2,1,0.0792,0.107,0.00000145,0.129,0.67,114.003,269613,-1.203
How Do You Sleep?,Jesse McCartney Featuring Ludacris,3jkdQNkDTxxXtjSO4l0o1H,0.747,0.878,8,1,0.0282,0.343,0,0.0872,0.557,106.004,208333,-3.533
Beggin',Madcon,5SlHTXLWa0nvh8VtGgKlJB,0.731,0.718,4,0,0.0672,0.0226,0,0.0518,0.428,129.053,216520,-7.51
Where I'm From,Jason Michael Carroll,0VeI4Zyirc6yuJ4P7fudjE,0.532,0.815,8,1,0.0392,0.0301,0,0.0721,0.546,149.728,276480,-5.834
Hey,Mitchel Musso,7zKObGlclVsHMwOG0Q3wYO,0.395,0.774,1,1,0.0408,0.00843,0,0.0836,0.736,183.983,181227,-3.169
sobeautiful,Musiq Soulchild,2PN3gbuBn5WBEwrEJH3xiu,0.689,0.562,7,0,0.0637,0.0656,0,0.0885,0.21,133.987,291133,-7.048
Here Comes Goodbye,Rascal Flatts,5YSW99IUAIiAj243jF7PBO,0.431,0.584,2,1,0.0336,0.42,0,0.142,0.181,146.176,243787,-6.025
,,5GdRECFihmmONuvv474HTs,0.606,0.958,9,1,0.1,0.00273,0,0.173,0.709,139.844,82880,-4.318
No Boundaries,Kris Allen,4K5LLD1QqDCYfCfe7MjAsG,0.449,0.789,3,1,0.0351,0.00357,0,0.0816,0.251,141.922,210093,-3.114
Heartless,Kris Allen,4gwDrsXJPXfCAYFbpUjeCW,0.577,0.747,10,0,0.052,0.133,0,0.141,0.502,94.954,222333,-4.675
I Love College,Asher Roth,1akgiRM3mN2nxu2AX6ACCW,0.713,0.826,8,1,0.243,0.0897,0,0.421,0.664,86.444,241933,-4.075
Hoedown Throwdown,Miley Cyrus,6ntkwU1MhehTKgx4BWxX3f,0.738,0.804,10,0,0.0608,0.197,0,0.297,0.791,109.045,181013,-6.018
Mad World,Adam Lambert,4n8Syhm2XQOvenU8SnVAhZ,0.533,0.83,7,1,0.038,0.379,0,0.953,0.156,114.126,174373,-5.416
Heartless,Kanye West,4EWCNWgDS8707fNSZ1oaA5,0.79,0.647,10,0,0.136,0.0515,0,0.248,0.654,87.999,211000,-5.983
Permanent,David Cook,7bppBAD4NHqVqzXkrkZVxY,0.577,0.336,5,1,0.0303,0.804,0,0.103,0.154,95.927,176520,-7.263
Always The Love Songs,Eli Young Band,3RFwzA2lXqIzoXHVbeLH1d,0.474,0.766,4,1,0.0291,0.291,0.0000138,0.685,0.402,149.988,221800,-3.419
No Boundaries,Adam Lambert,5gDe25hSVQ69TNmq0PQFag,0.516,0.863,6,1,0.0358,0.014,0,0.0923,0.268,141.963,227800,-2.957
If This Isn't Love,Jennifer Hudson,0o6IWuQ9Uxt69jKdVZ1eg2,0.567,0.777,4,1,0.0448,0.209,0,0.106,0.403,129.86,216387,-3.447
Love Sex Magic,Ciara Featuring Justin Timberlake,158q3fa4ZMoMYWdiYWD5NL,0.893,0.666,1,1,0.136,0.0203,0,0.342,0.874,107.026,220427,-5.089
Note To God,Charice,7MlEmf2a7vrvXJ1v0AHFoe,0.52,0.586,9,1,0.0384,0.519,0.00000103,0.0783,0.0637,120.119,238027,-5.383
Insane,Eminem,6x1stxDsnh4ZlEft29uhlR,0.876,0.878,9,0,0.168,0.251,0,0.321,0.677,97.99,181360,-0.929
Rehab,Glee Cast,4Rh7yI5nAglDGTKyeSGstA,0.439,0.939,3,1,0.0685,0.00101,0,0.157,0.536,161.86,206200,-3.552
Sober,P!nk,733ncRLzZQT5UtSPg1QmPc,0.612,0.797,6,1,0.0315,0.0626,0,0.187,0.373,90.95,251533,-4.896
Mad,Ne-Yo,6Hn9Uc1mMNfqChXU3txNke,0.727,0.649,0,1,0.0338,0.661,0,0.111,0.669,129.992,254533,-5.356
Heartless,The Fray,7yuWHdSLrknIYMgbkdmPOS,0.394,0.693,9,1,0.0938,0.675,0,0.115,0.433,164.004,255907,-6.993
It Won't Be Like This For Long,Darius Rucker,4gzeYkzuzxuzAUTsGcdjqA,0.584,0.524,4,1,0.0287,0.335,0,0.11,0.389,143.863,219000,-6.001
Crazier,Taylor Swift,5vyxXfD5gLlyPxGZMEjtmd,0.452,0.544,4,1,0.0277,0.0631,0.00000533,0.104,0.158,133.042,191947,-5.423
Epiphany (I'm Leaving),Chrisette Michele,3oQ5kA2PGJlztciJk3SKA0,0.727,0.676,7,1,0.25,0.304,0,0.5,0.391,163.021,208600,-4.556
Rockin' That Thang,The-Dream,3oJJ1dQBxiFYGMQSe2SluG,0.674,0.616,8,1,0.0432,0.118,0,0.289,0.63,77.968,221933,-4.757
Stanky Legg,GS Boyz,73GD9DI2EBRSi2l57wyh3Z,0.761,0.704,11,0,0.059,0.00435,0,0.272,0.738,154.007,233320,-5.975
Next To You,Mike Jones,7xVwhsuZTUWhIyFeDH6rYr,0.65,0.753,2,0,0.0632,0.324,0,0.307,0.616,82.478,221933,-4.745
There Goes My Baby,Charlie Wilson,6rZsGpXDr0WsUSFitx3v8N,0.596,0.827,5,1,0.0541,0.0846,0,0.382,0.662,81.019,207627,-4.455
Circus,Britney Spears,7jk7gqyEonmVVYahZN5zhW,0.791,0.733,6,0,0.052,0.147,0.000381,0.0713,0.761,114.98,192360,-5.215
The Fear,Lily Allen,7bW6MqAdTclmHVHAOkIyPS,0.661,0.847,10,1,0.0404,0.419,0.0000882,0.107,0.522,134.002,207120,-6.948
Diva,Beyonce,7eOG24Nx7j4nI3f9nOZTOi,0.574,0.845,9,1,0.164,0.0276,0.00029,0.387,0.486,145.921,165873,-7.406
Soulmate,Natasha Bedingfield,2Ykf8tMyWIf9WZNIZlk1UP,0.453,0.602,3,0,0.038,0.351,0,0.117,0.349,169.753,213907,-5.56
Viva La Vida,Coldplay,1mea3bSkSGXuIRvnydlB5b,0.485,0.619,5,0,0.0289,0.0941,0.00000331,0.109,0.416,138.017,242373,-7.115
Hot N Cold,Katy Perry,1y4eb6hmAvsqlDOl3fx9kk,0.706,0.841,7,1,0.0418,0.0000795,0,0.0688,0.861,132.032,220227,-3.956
Candle (Sick And Tired),The White Tie Affair,7L2njnxdaRRvDMNLuP1ZcD,0.557,0.874,0,1,0.0339,0.00134,0,0.127,0.396,139.002,230707,-5.729
Nothin' To Die For,Tim McGraw,3lRSz6HujrSy9b3LXg2Kq9,0.481,0.786,10,1,0.0288,0.0538,0,0.0759,0.389,153.105,253640,-5.654
Lark On My Go-Kart,Asher Roth,7g1yl3UgC1m0E1qPqCDwwZ,0.591,0.835,2,1,0.355,0.558,0.00000659,0.115,0.376,121.925,174533,-2.824
Thinking Of You,Katy Perry,3c9LVPh3MpeFoaAL5DBDK5,0.431,0.803,4,1,0.0364,0.00167,0,0.331,0.309,147.048,246410,-4.459
River Of Love,George Strait,4GWDHnXmJBZfxe3DWZcPmg,0.474,0.814,7,1,0.0419,0.604,0.0145,0.15,0.91,79.216,195147,-6.875
Single Ladies (Put A Ring On It),Beyonce,5R9a4t5t5O0IsznsrKPVro,0.426,0.584,1,1,0.296,0.0383,0,0.188,0.272,193.437,193213,-5.293
Shuttin' Detroit Down,John Rich,6nEcGnpDVVkUlCSeVSAUry,0.512,0.76,7,1,0.0311,0.292,0,0.189,0.584,167.884,241640,-2.507
Panic Switch,Silversun Pickups,597i9UhHbW8hHgBUp8Tm54,0.163,0.885,5,0,0.0725,0.000202,0.0121,0.228,0.549,198.556,343907,-4.623
Ride,Martina McBride,2FJHCgDZ24gwcRLm5TFpzq,0.556,0.836,7,1,0.042,0.109,0,0.274,0.559,116.978,232547,-3.931
White Horse,Taylor Swift,6wn61Fzx9XMxQmieLpoIhW,0.578,0.34,0,1,0.0264,0.305,0,0.104,0.223,92.702,234427,-8.027
I Hate This Part,The Pussycat Dolls,3tSuRiNgJmMqmYR23dCqnR,0.756,0.612,5,1,0.0317,0.0659,0,0.274,0.452,111.572,218400,-4.371
Untouched,The Veronicas,0KlahhzNb98zyN83Vwae0l,0.557,0.783,6,0,0.234,0.0171,0.0172,0.151,0.442,177.008,255360,-4.893
You Complete Me,Keyshia Cole,5T0LcVM6SwLX95hLedcseh,0.681,0.666,2,0,0.0491,0.578,0,0.26,0.732,111.401,230920,-4.984
Kids,MGMT,1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,-3.871
Marry For Money,Trace Adkins,5WHjU4AtVwvUcEemV5ENmn,0.607,0.834,4,1,0.0856,0.0418,0.000355,0.421,0.687,125.924,183680,-4.902
Gotta Be Somebody,Nickelback,06T10fEzN8ZCcqzQZYA184,0.536,0.89,0,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,252653,-5.222
God Love Her,Toby Keith,2VwBhM5L7wGE4lLavyJy0L,0.551,0.919,10,1,0.0529,0.133,0.0000836,0.0637,0.432,125.025,216627,-3.895
Things That Matter,Rascal Flatts,1UPFdjVhrpn0R42wa1iq2G,0.565,0.453,8,1,0.0281,0.252,0.000273,0.0793,0.28,126.034,281427,-7.76
Lifeline,Papa Roach,69dO2HECe2I2563iMIvEV2,0.454,0.909,2,1,0.0555,0.000183,0.00026,0.371,0.3,106.044,257547,-5.23
Hot Revolver,Lil Wayne,2xv4vRPukRNAtdgyj7EqrT,0.703,0.513,7,1,0.0481,0.00523,0,0.0872,0.274,128.994,200800,-7.209
Love Who You Love,Rascal Flatts,45rEMRPLdv7PZw0FkAtsvG,0.321,0.763,9,1,0.0415,0.0613,0,0.13,0.355,163.8,216280,-5.742
Sweet Thing,Keith Urban,21zOTXChnP7ghgn3fVKuSF,0.621,0.888,8,1,0.0443,0.19,0.000017,0.151,0.651,102.986,228187,-6.199
Cowgirls Don't Cry,Brooks & Dunn Featuring Reba McEntire,54007AqKIiRCG69C3ySu0b,0.648,0.75,9,1,0.0307,0.0801,0.00000423,0.0863,0.639,114.988,214367,-4.147
So What,P!nk,0JiY190vktuhSGN6aqJdrt,0.534,0.87,11,0,0.0425,0.000329,0,0.241,0.462,126.019,215160,-3.078
Forever,Rascal Flatts,4eqHcG3ffOYNGHxjDqY8Sv,0.333,0.698,3,1,0.039,0.141,0,0.113,0.203,179.979,256853,-6.986
Lost,Gorilla Zoe,6XIiqQp6A0gzaIEaDszkZX,0.722,0.564,0,0,0.0668,0.0162,0.176,0.351,0.553,136.039,287187,-7.476
Last Call,Lee Ann Womack,5DWmvAL8WPuncj8tSxFVNC,0.335,0.584,6,1,0.0341,0.794,0.000195,0.0869,0.332,78.509,195467,-7.089
Angels On The Moon,Thriving Ivory,0pRfOWb0VgT5o8bws4iHvf,0.441,0.8,10,1,0.0365,0.267,0,0.101,0.204,151.011,252800,-3.268
Lollipop,Framing Hanley,49dFv4gH1SeY90FySDOwCE,0.348,0.893,0,1,0.0662,0.000484,0.0000636,0.281,0.392,148.043,187907,-4.589
Whatever You Like,T.I.,1IAzD1muglOxOcPbUHs70R,0.68,0.687,9,0,0.0709,0.0161,0,0.261,0.467,150.053,249533,-6.162
Womanizer,Britney Spears,4fixebDZAVToLbUCuEloa2,0.724,0.695,11,1,0.0622,0.073,0,0.0889,0.235,139,224400,-5.226
Chicken Fried,Zac Brown Band,4dGJf1SER1T6ooX46vwzRB,0.566,0.713,6,1,0.0417,0.645,0,0.114,0.807,169.864,238147,-4.25
Sex On Fire,Kings Of Leon,0ntQJM78wzOLVeCUAW7Y45,0.542,0.905,9,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,-5.653
She Wouldn't Be Gone,Blake Shelton,4UIOPiM5kNcJFUoRtdDRZa,0.51,0.683,0,1,0.0302,0.166,0,0.0795,0.211,159.918,215613,-4.338
Magnificent,U2,47z5v7hkOTuvb82F0FWALC,0.529,0.715,6,0,0.0348,0.00012,0.497,0.112,0.592,114.973,324013,-6.065
I Will Be,Leona Lewis,4gJxLdiZXkKiSbvpFHNu8n,0.406,0.6,7,1,0.0298,0.132,0,0.15,0.205,149.987,238640,-4.157
Country Boy,Alan Jackson,5RuCWf4bJC0rqA05b7nWfd,0.73,0.684,9,1,0.0351,0.259,0.00000153,0.111,0.564,139.037,246080,-10.803
More Like Her,Miranda Lambert,6vMiU1tMnWXkWlmMWjX6ZN,0.556,0.393,11,1,0.025,0.238,0,0.0979,0.213,132.746,208867,-6.589
Disturbia,Rihanna,2VOomzT6VavJOGBeySqaMc,0.707,0.813,11,0,0.0571,0.0863,0,0.168,0.722,124.921,238627,-4.515
Hold Up My Heart,Brooke White,0HZGw30pIUh5drpM20skC2,0.314,0.641,2,1,0.0387,0.411,0,0.106,0.409,177.211,229227,-4.078
Miss Independent,Ne-Yo,34ceTg8ChN5HjrqiIYCn9Q,0.673,0.683,1,1,0.115,0.522,0,0.235,0.713,171.86,232000,-5.693
Feel That Fire,Dierks Bentley,0U7Q336Pth6J3mPy736fQq,0.412,0.833,1,1,0.0352,0.371,0.0000128,0.208,0.669,179.846,201507,-3.865
Tonight,Jonas Brothers,7xZa00kpFR3r7UqeczbVPE,0.465,0.954,4,1,0.0833,0.000532,0.0000279,0.313,0.756,155.899,209707,-4.536
Love Is On Its Way,Jonas Brothers,20ILnt1ckabPVF562uXgpF,0.192,0.637,9,1,0.0485,0.226,0,0.24,0.102,175.081,223587,-6.241
Get On Your Boots,U2,2pcXHC2NXIByMRsgBKp66o,0.557,0.746,0,1,0.0337,0.0000608,0.00546,0.188,0.601,149.035,205147,-6.171
Rehab,Rihanna,4sFRAkllCBqIa08boTHX5A,0.583,0.792,1,1,0.0533,0.00321,0.0000492,0.315,0.397,80.055,294720,-5.894
Love Lockdown,Kanye West,1kxeWHF9PrCVZHvVskv8lg,0.76,0.524,1,0,0.0323,0.0542,0.5,0.112,0.112,119.603,270307,-7.67
Right Now (Na Na Na),Akon,1ARJhjuI6TNYZCxYygFQ4F,0.832,0.87,8,0,0.167,0.267,0,0.412,0.566,138.003,240747,-4.2
Light On,David Cook,7zmqbdEqmQWgU2wOoBPG83,0.446,0.834,9,0,0.0341,0.0794,0,0.114,0.363,132.034,228827,-4.014
If I Were A Boy,Beyonce,26NX1wPt1TRCH536yocd6i,0.632,0.518,6,1,0.0313,0.107,0,0.354,0.427,90.007,249147,-6.126
Chasing Pavements,Adele,71WAtDcWVYMoCsblD2uQXx,0.621,0.473,5,0,0.0251,0.312,0,0.11,0.325,80.027,210507,-6.07
I Get It In,50 Cent,2GGXna7FXpFGhFfeuCijZ0,0.688,0.772,1,1,0.223,0.0832,0.000012,0.304,0.572,94.947,200107,-8.165
Break My Heart,Spectacular! Cast,1WbeuiDYoCfCpvxisr1zRx,0.584,0.939,1,0,0.0538,0.00081,0,0.337,0.783,141.007,190133,-3.081
Trading Places,Usher,5yC7WplXvhIHsp8NBYV5dT,0.696,0.643,0,1,0.0447,0.000153,0.0000103,0.156,0.332,146.005,268240,-5.218
Human,The Killers,1sTsuZTdANkiFd7T34H3nb,0.557,0.8,10,1,0.0601,0.00132,0.0012,0.0906,0.582,135.47,245373,-8.477
La La Land,Demi Lovato,0M9VqYG0wVun054JIdwFO8,0.467,0.919,6,0,0.069,0.0149,0,0.0193,0.706,169.987,196467,-2.255
Better In Time,Leona Lewis,2iXBZ32Fz5VDCLeE0JIdX5,0.584,0.7,6,1,0.0506,0.512,0.0000243,0.13,0.549,163.953,234173,-4.251
Absolute,The Fray,6sSDEFMeyf16WRDLRCXwTc,0.413,0.836,3,1,0.0371,0.0316,0,0.293,0.503,140.515,227080,-5.593
Decode,Paramore,5rrJOeJ2SMhtQjIPD8kmLr,0.277,0.949,10,0,0.0919,0.00155,0.000112,0.765,0.232,164.102,264205,-4.072
Working On A Dream,Bruce Springsteen,08QZBupqwLXOalOpgiTi5e,0.555,0.772,0,1,0.025,0.000462,0,0.22,0.711,110.481,208947,-7.292
Addicted,Saving Abel,3pxCXv0NACYfYnLjFcQW5D,0.512,0.865,7,1,0.0338,0.000821,0,0.0982,0.529,138.017,222827,-4.146
Krazy,Pitbull Featuring Lil Jon,5knxa9j29AigAUHKxnB7m5,0.772,0.843,11,0,0.058,0.0164,0.00316,0.0895,0.59,124.99,228654,-7.061
Let Me,Pat Green,7D3XZFoMd9VyeHq4bNudwm,0.456,0.642,10,1,0.0285,0.0443,0.0000599,0.0959,0.513,143.852,234307,-5.343
Tell Me Something I Don't Know,Selena Gomez,1UXBbmjIrxjckrbv5EfSVT,0.611,0.936,7,0,0.11,0.0309,0,0.12,0.697,144.901,201427,-3.697
Already Gone,Sugarland,6Gd842MwS4ySeBdQTU09sh,0.48,0.596,1,1,0.03,0.214,0.0000106,0.151,0.332,154.769,275867,-5.844
Broken,Lifehouse,5f6cTFoUenDiCJDGecYiuB,0.534,0.708,11,1,0.0402,0.089,0,0.192,0.488,130.639,286480,-5.732
In Color,Jamey Johnson,7CNd7rjfVt74TFlcOcnZgN,0.544,0.404,3,1,0.0354,0.391,0.00000398,0.157,0.251,129.518,290680,-8.751
Keeps Gettin' Better,Christina Aguilera,0j0n5CUS1g3QSwDWg8r5qq,0.645,0.697,5,0,0.0285,0.0739,0.000842,0.575,0.25,130.001,181947,-4.733
I Don't Care,Fall Out Boy,7ewT0nLFkMD8ONbRibePr9,0.55,0.938,11,0,0.0522,0.00171,0.0000218,0.555,0.433,133.99,214493,-3.556
At Last,Beyonce,0h87GbMRuU8ENP8LmdeA22,0.26,0.26,5,1,0.0329,0.666,0.00447,0.175,0.318,172.655,180707,-10.669
Roll With Me,Montgomery Gentry,048fAgdSLnAbQZG1ePSUKb,0.552,0.648,2,1,0.0273,0.0533,0.00015,0.144,0.407,142.159,233933,-6.71
Here,Rascal Flatts,5YSW99IUAIiAj243jF7PBO,0.431,0.584,2,1,0.0336,0.42,0,0.142,0.181,146.176,243787,-6.025
Bad Girlfriend,Theory Of A Deadman,5m7on0zpnmeAXy72ANrmfU,0.504,0.957,0,1,0.0529,0.00298,0,0.187,0.676,135.013,205627,-2.657
Crush,David Archuleta,4wCD0qOFNRu1Q6O3N6ycm4,0.57,0.664,0,0,0.0322,0.00836,0.000012,0.0719,0.487,162.084,213520,-4.718
Shattered (Turn The Car Around),O.A.R.,0J3MfW6wwIBqC4zjp5AbQL,0.571,0.784,11,1,0.0352,0.0175,0,0.19,0.462,105.973,255493,-6.396
Bust Your Windows,Jazmine Sullivan,56z2qI0gKcPthQF6l8AW3E,0.683,0.664,5,0,0.0332,0.538,0,0.0671,0.866,106.991,266307,-4.233
Seventeen Forever,Metro Station,1v0E30pA3wOBXuDxfsyOPa,0.569,0.793,0,0,0.0329,0.00172,0.00054,0.136,0.687,139.979,174133,-5.041
About You Now,Miranda Cosgrove,3oRMeMMJ1xUhBBpy2iGE2g,0.489,0.868,6,1,0.13,0.00558,0,0.602,0.658,164.98,190560,-3.8
Lookin' For A Good Time,Lady Antebellum,1Ec7xc3zWcd4ysMINmr9LW,0.665,0.936,7,1,0.0544,0.0146,0,0.125,0.848,122.003,187320,-2.97
Without You,Hinder,4xNfsvj9mOVnMTvHZZ8HNk,0.41,0.816,3,1,0.0333,0.0292,0.0000201,0.129,0.288,136.014,232267,-3.83
All Summer Long,The Rock Heroes,0gTEBEvVYhVAbq0M7ZuWhe,0.606,0.885,7,1,0.0336,0.00825,0,0.0634,0.855,102.992,296347,-4.377
Closer,Ne-Yo,2XbfY2O2v3xwedUJ0J2kkr,0.711,0.753,4,0,0.0766,0.028,0.0000296,0.152,0.588,126.051,234360,-6.461
Come On Get Higher,Matt Nathanson,38YgZVHPWOWsKrsCXz6JyP,0.672,0.623,9,1,0.0297,0.241,0,0.0848,0.617,92.018,215173,-5.699
Right Here (Departed),Brandy,06G1SCVVYRSDCFGMSnDvpv,0.568,0.682,8,1,0.0439,0.256,0,0.231,0.366,92.99,217947,-5.781
When It Hurts,Avant,00zqTWtvCWvDtAqoLRl6Sy,0.682,0.646,11,1,0.0839,0.376,0,0.0705,0.253,128.279,236213,-5.509
Fall For You,Secondhand Serenade,7lWF2mVr1KKbVnaT2nSlPo,0.387,0.442,0,1,0.0352,0.19,0,0.0788,0.382,169.481,185600,-7.086
Love Remains The Same,Gavin Rossdale,4dOXc4Suk5eig0jiCqCN5Y,0.406,0.632,4,1,0.0344,0.236,0,0.18,0.109,149.258,249440,-5.115
Lovebug,Jonas Brothers,5G5BOAz7sMWNCOQnbv4ODc,0.577,0.495,4,1,0.0593,0.158,0,0.269,0.522,158.215,220693,-6.007
Fly On The Wall,Miley Cyrus,2f6s0AcBRBE0vIOU0NMdXw,0.559,0.961,7,0,0.0544,0.165,0,0.152,0.697,143.974,151800,-4.162
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,3u0iJcNE8fHupAO2OOqGlC,0.705,0.693,11,1,0.155,0.374,0.0000121,0.65,0.555,137.741,252987,-7.153
T-Shirt,Shontelle,0m0FYyIbSDiASOlQ64GDO5,0.679,0.657,6,1,0.0423,0.0219,0,0.295,0.363,86.984,234760,-6.222
Just A Dream,Carrie Underwood,7g8OpS827dAYU067lZaR0L,0.526,0.781,7,1,0.0369,0.0613,0,0.121,0.358,142.06,284707,-3.673
Run,Leona Lewis,4hrAKlxfblnG7llBEEX7TR,0.302,0.461,5,0,0.0292,0.43,0.00000561,0.122,0.0932,142.434,314720,-6.166
Let It Go,Tim McGraw,1piLu6VDrRyYvSaZH8wLoh,0.477,0.86,1,1,0.032,0.322,0,0.313,0.473,159.27,225027,-4.16
What About Now,Daughtry,35SuLFF1dk9nBgjE2HzTzp,0.387,0.862,9,0,0.0457,0.107,0,0.103,0.337,161.984,251627,-2.219
Anything Goes,Randy Houser,4dJ5dViPmuNPxOnxbwY1dr,0.477,0.638,0,1,0.0355,0.54,0.000115,0.101,0.28,139.885,184173,-4.77
Spotlight,Jennifer Hudson,02QQXgeAghpU4smdM7l7We,0.707,0.724,11,0,0.051,0.0448,0,0.072,0.659,108.984,250107,-3.887
Get Up,50 Cent,4lyphUu7lt4KKuf8jZKjjh,0.707,0.885,11,0,0.174,0.0303,0,0.311,0.405,92.435,195680,-2.635
Love Remembers,Craig Morgan,2HTRbbAy1RHTsRbJ0RNcjM,0.39,0.715,0,1,0.0342,0.311,0,0.212,0.379,153.655,235773,-3.448
No Me Doy Por Vencido,Luis Fonsi,4lerOTNr2tFWJCAmmhymhi,0.31,0.663,3,1,0.101,0.443,0,0.609,0.407,172.768,239400,-6.075
Forever,Chris Brown,3NZJlJemX3mzjf56MqC5ML,0.672,0.82,11,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,278573,-4.456
Shattered Glass,Britney Spears,3sJx8qerYrs92oqVAa9S0Z,0.831,0.489,0,0,0.0533,0.0483,0.0000133,0.074,0.376,120.054,172400,-6.475
Paper Planes,M.I.A.,1kusepF3AacIEtUTYrw4GV,0.447,0.848,2,1,0.222,0.033,0.0000745,0.722,0.485,172.247,203760,-6.175
Need U Bad,Jazmine Sullivan,0Ri0LzOMJmqi9HGZE5cRYV,0.529,0.659,7,1,0.0629,0.0232,0,0.114,0.36,138.196,257427,-5.318
Chinese Democracy,Guns N' Roses,0zoK1L5JxJbyk7T2nw367B,0.474,0.8,2,1,0.0775,0.000769,0.0309,0.131,0.156,133.94,283213,-10.472
Leave Out All The Rest,Linkin Park,0sp00HSXkQyqTa6QqM0O8V,0.509,0.629,0,1,0.0335,0.209,0.00000199,0.369,0.237,80.012,209307,-6.434
